YEAR,WRKSTAT,MARITAL,AGEWED,CHILDS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,FEMALE,RACE,INCOME,INCOME98,RELIG,FUND,ATTEND,RELITEN,PRAY,PRAYER,BIBLE,HAPPY,ALIKE1,ALIKE2,ALIKE3,ALIKE4,ALIKE5,ALIKE6,ALIKE7,ALIKE8,AGEWEDCR,HAPUNHAP,REALINC,WORDSUM
1972,1,1,18,1,45,7,3,11,0,0,0,0,1,NA,NA,1,2,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,7,1,22,2,30,12,12,10,1,1,0,1,1,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,5,1,25,2,68,8,3,3,0,0,0,0,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,7,1,19,1,63,11,10,NA,0,0,NA,1,1,NA,NA,2,2,8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,5,NA,0,19,12,NA,NA,1,NA,NA,0,1,NA,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,2,5,NA,0,23,16,9,12,3,0,1,0,1,NA,NA,4,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,7,1,23,1,46,10,12,5,0,0,0,1,1,NA,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,7,2,24,1,55,8,4,4,0,0,0,1,1,NA,NA,1,2,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,5,NA,1,22,14,16,14,1,3,1,0,1,NA,NA,2,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74452,NA
1972,1,5,NA,0,55,12,11,6,1,0,0,1,1,NA,NA,2,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,25,5,44,7,4,4,0,0,0,0,1,NA,NA,1,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,2,1,22,2,41,12,8,8,1,0,0,1,1,NA,NA,1,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,1,3,28,0,49,15,NA,NA,1,NA,NA,0,1,NA,NA,4,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,7,1,21,2,28,15,15,12,1,1,1,1,1,NA,NA,1,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,6,5,NA,0,21,14,12,12,1,1,1,0,1,NA,NA,5,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,1,1,23,0,26,17,16,14,3,3,1,0,1,NA,NA,1,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,17,0,31,20,20,17,4,4,3,1,1,NA,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,2,5,NA,0,28,18,NA,NA,4,NA,NA,1,1,NA,NA,5,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,23,0,26,17,NA,12,3,NA,1,0,1,NA,NA,4,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,5,NA,0,20,14,12,14,1,1,1,1,2,NA,NA,2,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,4,1,22,0,25,16,12,19,3,1,4,0,1,NA,NA,4,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,18,2,57,12,8,8,1,0,0,1,1,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,24,3,58,13,NA,11,1,NA,0,1,1,NA,NA,5,NA,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,1,1,20,3,54,14,12,12,1,1,1,0,1,NA,NA,1,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,7,1,22,2,35,16,8,8,3,0,0,1,1,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,21,3,40,14,13,12,1,1,1,0,1,NA,NA,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,1,1,22,3,57,15,8,8,1,0,0,0,1,NA,NA,1,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74452,NA
1972,7,1,23,2,64,16,18,14,1,4,1,1,1,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,1,19,2,34,15,8,10,1,0,0,0,1,NA,NA,1,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,7,1,17,2,25,12,10,12,1,0,1,1,1,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,25,1,28,9,NA,12,0,NA,1,0,1,NA,NA,1,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,1,25,3,41,13,13,12,1,1,1,0,1,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,19,4,36,12,6,13,1,0,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,1,1,26,1,31,15,8,16,1,0,4,0,1,NA,NA,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,1,1,20,4,45,12,NA,8,1,NA,0,0,1,NA,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,7,1,15,8,74,8,NA,NA,0,NA,NA,1,1,NA,NA,4,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,1,3,21,0,64,12,5,4,1,0,0,1,1,NA,NA,1,1,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,2,5,NA,0,23,13,8,12,1,0,1,1,1,NA,NA,5,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,4,3,20,0,27,16,16,2,3,3,0,1,1,NA,NA,5,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,8,3,21,4,42,13,12,10,1,1,0,0,1,NA,NA,1,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,1,3,29,7,47,3,6,NA,0,0,NA,0,2,NA,NA,1,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,4,5,NA,0,26,12,NA,12,1,NA,1,0,2,NA,NA,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,7,1,25,3,34,10,7,8,0,0,0,1,1,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,1,1,28,1,52,14,4,8,0,0,0,0,1,NA,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,3,3,20,3,24,12,11,9,1,0,0,0,1,NA,NA,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,4,22,2,36,14,16,13,1,3,1,1,1,NA,NA,3,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,4,1,23,1,25,8,3,NA,0,0,NA,0,2,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,7,4,19,6,46,11,NA,0,0,NA,0,1,2,NA,NA,1,3,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,7,1,15,8,54,2,1,NA,0,0,NA,1,2,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,4,18,3,27,12,NA,NA,1,NA,NA,1,2,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,7,5,NA,2,20,12,12,10,0,1,0,1,2,NA,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8122,NA
1972,1,1,21,3,53,6,NA,12,0,NA,1,0,2,NA,NA,1,3,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,3,1,27,7,47,3,3,3,0,0,0,0,2,NA,NA,1,3,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,5,2,43,0,70,8,NA,NA,0,NA,NA,0,2,NA,NA,1,3,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,1,22,2,69,8,NA,3,0,NA,0,1,1,NA,NA,2,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50763,NA
1972,1,1,19,1,49,12,NA,NA,0,NA,NA,1,1,NA,NA,4,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,2,1,22,1,29,16,8,8,3,0,0,1,1,NA,NA,4,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,7,1,18,3,48,12,NA,8,1,NA,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,5,1,28,0,67,9,8,4,0,0,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,6,3,19,0,22,12,10,8,1,0,0,0,1,NA,NA,1,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,5,1,35,2,75,6,6,0,0,0,0,0,1,NA,NA,2,2,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,1,20,3,38,12,4,1,1,0,0,0,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50763,NA
1972,1,1,24,2,46,15,3,4,1,0,0,0,1,NA,NA,2,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,7,1,20,2,63,8,8,8,0,0,0,1,1,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,17,2,34,11,NA,12,0,NA,1,1,1,NA,NA,1,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,19,6,57,4,NA,NA,0,0,0,0,1,NA,NA,1,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,5,NA,0,22,13,12,9,1,1,0,1,1,NA,NA,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,1,38,3,46,8,NA,8,0,NA,0,0,1,NA,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,23,3,73,11,NA,NA,0,0,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,5,1,35,0,73,12,NA,NA,1,0,0,0,1,NA,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,1,1,21,3,53,12,4,8,1,0,0,0,1,NA,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,2,28,2,84,12,NA,NA,1,NA,NA,1,1,NA,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
